;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Thiamin;Riboflavin;Niacin;Folate;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;NE;DFE;;;;
Breads, Cereals and Other Grain Products;;;;;;;;;;;;;;;;;;;;;;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;RAE;mcg;mcg;mg;;;;
Fish and Shellfish;;;;;;;;;;;;;;;;;;;;;;;;;
Fish;;;;;;;;;;;;;;;;;;;;;;;;;
Anchovies, canned in oil, drained solids;2;8;17;70;2;0;1;0,02;0,02;0,10;0,06;7;19;0,04;293;44;20;1;0,01;0,07;0,03;;;;
Arctic char, cooked;75g;75;119;496;20;0;4;0,07;0,09;0,30;0,38;N/A;23;0,04;38;N/A;188;68;2,08;N/A;N/A;;;;
Bass, mixed species, baked or broiled;75g;75;110;458;18;0;4;0,08;1,00;0,34;0,23;65;77;1,04;68;342;192;26;N/A;0,092361111;N/A;;;;
Burbot (loche), raw;90g;90;71;297;16;0;1;0,01;0,03;0,09;0,06;54;22;0,03;63;288;171;5;0,05;0,05;N/A;;;;
Catfish, channel, farmed, baked or broiled;75g;75;114;477;14;0;6;1,03;1,00;0,10;0,04;48;7;0,06;60;241;184;11;N/A;2,10;1,00;;;;
Cisco (lake herring, tullibee), baked or broiled;75g;75;98;408;17;0;3;N/A;N/A;N/A;N/A;N/A;38;0,05;38;312;188;0;N/A;N/A;N/A;;;;
Cisco (lake herring, tullibee), raw;90g;90;88;369;17;0;2;1,01;1,02;0,46;0,11;45;10;0,04;50;319;137;27;N/A;0,0625;N/A;;;;
Cod, Atlantic, baked or broiled;75g;75;79;329;17;0;1;0,01;0,02;0,12;tr;41;11;0,04;59;183;104;11;0,05;0,054861111;0,06;;;;
Cod, Atlantic, dried and salted, soaked in water;75g;75;62;259;13;0;1;0,01;0,02;0,09;tr;32;35;0,05;1353;265;183;9;0,05;0,098611111;0,06;;;;
GefiItefish;75g;75;63;263;7;6;1;0,03;0,02;0,03;0,06;23;17;1,09;393;68;55;20;N/A;0,04375;N/A;;;;
Grayling, baked or broiled;75g;75;80;332;17;0;1;N/A;N/A;N/A;N/A;N/A;29;0,05;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;
Haddock, baked or broiled;75g;75;84;351;18;0;1;0,01;0,02;0,12;0,06;56;32;1,00;65;299;181;14;0,02;1,04;0,04;;;;
Halibut, Atlantic and Pacific, baked or broiled;75g;75;105;439;20;0;2;0,03;0,07;0,28;0,07;31;45;0,08;52;432;214;41;3,06;1,03;2,02;;;;
Herring, Atlantic, kippered;75g;75;163;680;18;0;9;2,01;2,02;0,061111111;1,13;62;63;1,01;689;335;244;30;1,06;14,03;1,02;;;;
Mackerel, Atlantic, baked or broiled;75g;75;197;822;18;0;13;3,01;3,02;0,52;0,38;56;11;1,02;62;301;209;41;2,00;14,25;1,05;;;;
Ocean Perch, Atlantic, baked or broiled;75g;75;91;380;18;0;2;0,02;0,04;0,20;0,08;41;103;0,09;72;263;208;11;N/A;0,059722222;1,02;;;;
Pickerel (Walleye), baked or broiled;75g;75;89;374;18;0;1;0,02;0,04;0,22;0,08;83;106;1,03;49;374;202;18;3,05;0,092361111;N/A;;;;
Pike, northern, baked or broiled;75g;75;71;298;16;0;1;0,02;0,02;0,08;0,08;38;33;0,03;23;323;180;1;2,04;0,092361111;0,02;;;;
Pollock, Atlantic, baked or broiled;75g;75;89;370;19;0;1;0,01;0,05;0,34;0,07;68;58;0,04;83;342;212;9;1,04;0,136111111;0,02;;;;
Salmon, Atlantic, farmed, baked or broiled;75g;75;155;646;17;0;9;1,09;3,03;1,09;0,52;47;11;0,03;46;288;189;11;5,01;2,10;N/A;;;;
Salmon, chum (keta), baked or broiled;75g;75;116;483;19;0;4;0,08;0,09;0,38;0,22;71;11;0,05;48;413;272;26;14,00;3,00;1,01;;;;
Salmon, chum (keta), canned, drained solids with bone, salted;75g;75;106;443;16;0;4;1,01;1,01;0,53;0,35;29;187;0,05;365;225;266;14;5,00;3,30;1,02;;;;
Salmon, chum (keta), canned, drained solids with bone, unsalted;75g;75;106;443;16;0;4;1,01;1,01;0,53;0,35;29;187;0,05;56;225;266;14;4,02;3,30;1,02;;;;
Salmon, coho, farmed, baked or broiled;75g;75;134;558;18;0;6;1,05;1,05;0,045138889;0,31;47;9;0,03;39;345;249;44;N/A;2,38;0,07;;;;
Salmon, eggs, raw;90g;90;116;485;24;0;9;2,01;2,03;1,17;0,06875;N/A;11;0,06;45;369;198;N/A;N/A;N/A;N/A;;;;
Salmon, king or chinook, smoked, canned;75g;75;113;470;17;1;4;N/A;N/A;N/A;N/A;N/A;45;1,04;N/A;N/A;N/A;72;N/A;N/A;N/A;;;;
Salmon, pink, canned, drained with bones;75g;75;102;427;17;0;4;0,06;1,01;0,52;0,27;62;208;0,07;299;233;274;17;N/A;0,174305556;1,00;;;;
Salmon, smoked;2 pieces;40;47;196;7;0;2;0,04;0,04;0,11;0,07;9;4;0,03;314;70;66;10;4,02;1,30;0,05;;;;
Salmon, smoked, lox;2 pieces;40;47;196;7;0;2;0,04;0,04;0,11;0,07;9;4;0,03;800;70;66;10;4,02;1,30;N/A;;;;
Salmon, sockeye, baked or broiled;75g;75;162;677;20;0;8;1,04;1,08;0,53;0,40;65;5;0,04;50;281;207;47;17,00;4,35;2,03;;;;
Sardines, Atlantic, canned in oil, drained with bones;1 can;106;220;922;26;0;12;1,06;5,05;0,54;0,50;151;405;3,01;535;421;519;34;2,05;9,48;2,02;;;;
Sardines, Pacific, canned in tomato sauce, drained with bones;1 can;106;197;825;22;1;11;2,08;2,02;0,063888889;0,56;65;254;2,04;439;361;388;36;12,07;9,54;1,05;;;;
Smelt, breaded and fried;5;80;201;840;17;10;10;2,05;2,07;N/A;N/A;79;31;1,00;N/A;332;246;20;N/A;N/A;N/A;;;;
Snapper, mixed species, baked or broiled;75g;75;96;401;20;0;1;0,03;0,04;0,20;0,04;35;30;0,02;43;392;151;26;2,02;0,127083333;0,05;;;;
Sole (flatfish), baked or broiled;75g;75;88;367;18;0;1;0,03;0,05;0,19;0,18;51;14;0,03;79;258;217;10;1,01;0,102777778;0,05;;;;
Trout, rainbow, farmed, baked or broiled;75g;75;127;530;18;0;5;1,06;1,07;0,043055556;0,25;51;65;0,02;32;331;200;65;4,08;0,175694444;0;;;;
Tuna, light, canned in water, drained, salted;75g;75;87;364;19;0;1;0,02;0,03;0,17;0,04;23;8;1,01;254;178;122;13;0,09;2,24;0,03;;;;
Tuna, light, canned with oil, drained, salted;75g;75;149;621;22;0;6;1,02;2,02;0,08;0,02;14;10;1,00;266;155;233;17;0,07;0,086805556;0,07;;;;
Turbot, baked or broiled;75g;75;92;383;15;0;3;N/A;N/A;N/A;N/A;47;17;0,03;144;229;124;9;N/A;0,104861111;N/A;;;;
Whitefish, lake, native, baked;75g;75;100;417;17;0;3;0,09;2,01;0,0625;0,30;58;12;0,03;33;294;168;8;11,03;0,05;N/A;;;;
Shellfish;;;;;;;;;;;;;;;;;;;;;;;;;
Clams, mixed species, boiled or steamed;5 large;60;89;371;15;3;1;0,01;0,03;0,09;0,08;40;55;16,08;67;377;203;103;0,01;59.33.00;0,04;;;;
Clams, mixed species, canned, drained solids;125mL;85;125;523;22;4;2;0,02;0,05;0,12;0,12;57;78;23,06;95;531;286;153;0,01;83.59.00;0,05;;;;
Crab, canned, drained;125mL;71;71;295;15;0;1;0,02;0,03;0,12;0,14;63;72;0,06;238;267;185;1;N/A;00.33;1,03;;;;
Crab, snow, boiled or steamed;125mL;62;72;300;15;0;1;0,01;0,03;0,09;0,21;44;21;1,08;431;125;80;32;N/A;6,47;N/A;;;;
Crayfish, mixed species, farmed, boiled or steamed;4 medium;60;52;218;11;0;1;0,01;0,02;0,02;0,07;82;31;0,07;58;143;145;9;N/A;0,101388889;N/A;;;;
Lobster, boiled or steamed;125mL;77;75;314;16;1;tr;0,01;0,01;0,02;0,04;55;47;0,03;291;270;142;20;N/A;2,38;0,08;;;;
Mussels, boiled or steamed;15 small;75;129;539;18;6;3;0,06;0,09;0,38;0,21;42;25;5,00;277;201;214;68;0,02;18,00;0,08;;;;
Oysters, boiled or steamed;6 medium;42;58;241;6;3;2;0,06;0,08;0,25;0,23;44;38;5,00;177;118;85;23;3,04;0,632638889;0,07;;;;
Oysters, canned, solids and liquid;125mL;131;90;379;9;5;3;0,08;1,00;0,30;0,28;72;59;8,08;147;300;182;118;N/A;25.06.00;1,01;;;;
Oysters, raw;6 medium;84;50;207;4;5;1;0,04;0,05;0,17;0,16;21;37;4,09;150;104;78;7;N/A;0,584027778;0,05;;;;
Scallops, cooked, steamed;6 medium;78;87;365;18;0;1;0,01;0,04;0,16;0,13;41;90;2,03;207;371;264;23;0;1,01;1,02;;;;
Shrimp, boiled or steamed;6 medium;30;30;124;6;0;tr;0,01;0,01;0,04;0,05;59;12;0,09;67;55;41;20;N/A;0,45;0,04;;;;
Fish Products;;;;;;;;;;;;;;;;;;;;;;;;;
Calamari, breaded and fried;125mL;79;156;651;14;9;7;1,07;1,06;0,27;0,11;197;45;1,00;303;216;194;17;0,01;1,02;1,00;;;;
Caviar, black or red;15mL;16;41;171;4;1;3;0,07;1,02;0,043055556;0,44;95;45;1,09;243;29;58;91;0,05;3,25;1,01;;;;
Crab cake;1;60;93;389;12;tr;5;0,09;1,04;0,13;0,14;90;63;0,06;198;194;128;34;N/A;3,56;N/A;;;;
Crab, imitation, made from surimi;125mL;67;68;284;8;7;1;0,02;0,04;0,24;0,16;13;9;0,03;560;60;188;13;1,02;1,07;0,01;;;;
Fish cake;1;120;240;1004;16;15;12;3,03;2,06;0,10;tr;63;30;0,08;290;526;201;28;1,05;0,050694444;0,07;;;;
Fish fillet, battered and fried;1;134;265;1108;22;9;15;3,06;3,04;0,14;0,08;71;42;1,00;133;508;266;23;0,08;1,02;1,00;;;;
Fish sticks, frozen, heated (10cm x 2.5cm x 1.3cm);3 sticks;83;227;948;13;20;10;2,06;2,06;0,11;0,07;93;17;0,06;485;217;151;26;0,01;1,50;0,04;;;;
Shrimp, breaded and fried;6 medium;66;160;668;14;8;8;1,04;3,04;0,08;0,07;117;44;0,08;227;149;144;N/A;N/A;1,23;N/A;;;;
Tuna salad;125mL;108;203;847;17;10;10;1,07;4,05;0,06;0,02;14;18;1,01;435;193;193;26;3,06;1,30;N/A;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Fat;Saturated Fat;Monounsaturated Fat;Polyunsaturated Fat;Cholestrol;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Vitamin D;Vitamin B12;Folate;Vitamin E;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;RAE;mcg;mcg;DFE;mg;;;;
Meat and Poultry;;;;;;;;;;;;;;;;;;;;;;;;;
Beef;;;;;;;;;;;;;;;;;;;;;;;;;
Blade roast, lean + fat, braised;75g;75;200;834;26;0;10;4,00;5,00;0,04;71;2,05;46;202;18;142;0;0,05;2,38;4;0,01;;;;
Blade steak, lean + fat, braised;75g;75;227;947;23;0;14;5,07;7,01;0,05;71;2,04;49;178;17;138;0;0,05;2,00;4;0,02;;;;
Composite, roast, lean + fat, cooked;75g;75;181;756;24;0;8;3,05;4,02;0,04;61;2,03;40;230;19;155;0;0,05;0,103472222;4;0,01;;;;
Composite, steak, lean + fat, cooked;75g;75;196;819;25;0;9;3,09;4,09;0,04;64;2,04;40;200;18;148;0;0,05;0,095833333;4;0,01;;;;
Cross rib roast, lean + fat, braised;75g;75;197;825;27;0;9;3,06;4,05;0,05;70;2,06;52;242;21;164;0;0,05;0,103472222;5;0,06;;;;
Eye of round roast, lean + fat, roasted;75g;75;148;618;24;0;5;2,01;2,05;0,02;50;1,05;40;243;19;152;0;0,05;1,44;5;0,02;;;;
Eye of round steak, lean + fat, braised;75g;75;171;715;28;0;5;2,02;2,08;0,03;61;1,08;35;243;19;152;0;0,05;1,38;5;0,02;;;;
Flank steak, lean + fat, braised;75g;75;184;769;25;0;8;3,06;4,01;0,03;54;2,02;45;243;19;152;0;0,05;2,15;5;0,03;;;;
Ground, extra lean, crumbled, pan-fried;75g;75;167;696;23;0;8;3,02;3,03;0,03;59;2,01;65;311;22;180;0;0,03;2,06;5;N/A;;;;
Ground, lean, crumbled, pan-fried;75g;75;194;809;22;0;11;4,05;5,01;0,03;59;2,01;70;293;21;174;0;0,05;2,16;0;N/A;;;;
Ground, medium, crumbled, pan-fried;75g;75;214;894;22;0;13;5,06;6,00;0,04;61;2,00;68;303;21;173;0;0,06;0,102777778;6;N/A;;;;
Ground, regular, crumbled, pan-fried;75g;75;243;1016;22;0;17;7,00;7,09;0,04;63;2,02;78;301;21;178;0;0,08;0,133333333;0;N/A;;;;
Inside (top) round roast, lean + fat, roasted;75g;75;133;555;24;0;3;1,04;1,06;0,02;53;2,01;48;253;20;163;0;0,05;0,088888889;5;0,01;;;;
Inside (top) round steak, lean + fat, braised;75g;75;175;731;30;0;5;2,01;2,06;0,03;68;2,04;38;204;20;157;0;0,05;1,43;5;0,04;;;;
Outside (bottom) round roast, lean + fat, roasted;75g;75;158;659;25;0;5;2,01;2,08;0,03;58;2,09;42;243;19;152;0;0,05;0,088194444;5;0,02;;;;
Outside (bottom) round steak, lean + fat, braised;75g;75;195;815;29;0;8;3,00;4,02;0,04;72;3,01;43;243;19;152;0;0,05;1,41;5;0,03;;;;
Rib eye steak, lean + fat, broiled;75g;75;230;963;20;0;16;6,07;8,00;0,05;53;2,04;40;243;19;152;0;0,05;1,54;5;0,08;;;;
Rib steak, lean + fat, broiled;75g;75;232;969;23;0;15;6,04;7,03;0,05;58;1,09;56;243;19;152;0;0,03;0,097222222;5;0,05;;;;
Rump roast, lean + fat, broiled;75g;75;164;684;21;0;8;3,02;3,06;0,03;59;1,09;47;296;20;180;0;0,03;2,27;7;N/A;;;;
Short ribs, lean + fat, simmered;75g;75;309;1292;17;0;26;11,02;11,08;1,00;57;1,04;29;146;10;86;0;1,07;0,109027778;4;N/A;;;;
Sirloin tip roast, lean + fat, roasted;75g;75;156;653;25;0;5;2,02;2,08;0,03;58;2,07;44;243;19;152;0;0,05;0,100694444;5;0,01;;;;
Standing rib roast, lean + fat, roasted;75g;75;237;992;21;0;16;6,09;8,00;0,05;55;1,07;53;243;19;152;0;0,05;0,092361111;5;0,05;;;;
Stewing beef, lean, simmered;75g;75;183;765;28;0;7;2,09;N/A;N/A;68;2,06;45;214;19;150;0;0,05;0,097222222;4;0,02;;;;
Strip loin (New York) steak, lean + fat, broiled;75g;75;191;797;23;0;10;4,03;5,02;0,04;55;2,01;43;243;19;152;0;0,05;0,091666667;5;0,03;;;;
T-Bone (Porterhouse) steak, lean + fat, broiled;75g;75;216;903;22;0;13;5,06;6,06;0,04;54;2,01;51;243;19;152;0;0,05;0,103472222;5;0,01;;;;
Tenderloin, steak, lean + fat, broiled;75g;75;170;709;24;0;7;3,02;3,06;0,03;59;2,09;50;243;19;152;0;0,05;2,04;5;0,02;;;;
Top sirloin steak, lean + fat, broiled;75g;75;146;611;21;0;6;2,06;3,01;0,03;52;2,00;43;257;20;160;0;0,05;2,33;5;0,02;;;;
veal;;;;;;;;;;;;;;;;;;;;;;;;;
Composite cuts, lean + fat, cooked;75g;75;173;725;23;0;9;3,02;3,03;0,06;86;0,09;65;244;20;179;0;1,01;1,18;11;0,03;;;;
Cutlets, grain-fed, pan-fried;75g;75;136;568;27;0;2;0,07;0,08;0,06;78;1,05;33;266;21;171;0;0,05;2,46;N/A;0,03;;;;
Cutlets, milk-fed, pan-fried;75g;75;142;593;28;0;2;0,06;0,08;1,00;78;0,05;58;332;16;218;0;0,05;1,27;12;0,03;;;;
Ground, broiled;75g;75;129;539;18;0;6;2,03;2,01;0,04;77;0,07;62;253;18;163;0;0,08;0,065972222;8;0,01;;;;
Leg, lean + fat, breaded, pan-fried;75g;75;171;715;20;7;7;2,03;2,05;1,01;84;1,02;341;278;23;188;8;0,09;0,064583333;24;0,04;;;;
Leg, lean + fat, roasted;75g;75;120;502;21;0;3;1,04;1,03;0,03;77;0,07;51;292;21;176;0;0,05;0,061111111;12;0,04;;;;
Loin, lean + fat, roasted;75g;75;163;680;19;0;9;3,09;3,06;0,06;77;0,07;70;244;19;159;0;1,03;0,064583333;11;0,03;;;;
Shoulder, whole, lean + fat, roasted;75g;75;142;593;23;0;5;2,02;1,08;0,03;65;0,07;56;266;17;140;0;0,07;2,50;N/A;0,04;;;;
Stewing meat, lean, braised;75g;75;141;590;26;0;3;1,00;1,00;0,03;109;1,01;70;257;21;179;0;0,07;1,25;12;0,03;;;;
Pork;;;;;;;;;;;;;;;;;;;;;;;;;
Back ribs, lean + fat, roasted;75g;75;274;1145;21;0;20;7,09;8,09;2,06;85;0,09;100;251;18;147;2;0,08;0,057638889;2;N/A;;;;
Centre cut, loin, chop, lean + fat, broiled;75g;75;180;753;22;0;10;3,06;4,04;0,07;62;0,06;44;269;19;174;2;0,04;0,55;5;0,01;;;;
Centre cut, loin, chop, lean + fat, pan-fried;75g;75;208;869;22;0;12;4,05;5,03;1,04;69;0,07;60;319;22;194;2;0,05;0,55;5;0,02;;;;
Ground, lean, pan-fried;75g;75;175;731;19;0;11;4,01;5,00;1,03;60;0,09;60;278;20;166;2;0,05;0,055555556;5;0,02;;;;
Ground, medium, pan-fried;75g;75;224;938;18;0;16;6,00;7,03;2,02;66;0,08;68;275;19;164;2;0,05;0,059722222;5;0,02;;;;
Leg, butt end, lean + fat, roasted;75g;75;189;791;22;0;11;3,09;4,08;1,00;72;0,08;47;281;20;204;2;0,04;0,54;2;0,02;;;;
Loin, rib end, lean + fat, broiled;75g;75;197;825;22;0;12;4,03;5,02;0,09;62;0,06;47;301;20;178;2;0,04;0,55;2;0,03;;;;
Loin, rib end, lean + fat, pan-fried;75g;75;199;831;20;0;13;4,08;5,06;1,04;55;0,05;38;323;19;177;2;0,05;0,53;2;0,02;;;;
Shoulder, butt, lean + fat, roasted;75g;75;198;828;19;0;13;5,00;5,09;1,09;67;1,01;50;245;18;153;2;0,06;0,063888889;4;0,02;;;;
Shoulder, whole, lean + fat, roasted;75g;75;219;916;17;0;16;5,09;7,01;1,05;68;1,00;51;247;14;159;2;0,05;0,041666667;4;0,01;;;;
Spareribs, lean + fat, braised;75g;75;251;1048;20;0;18;7,00;7,08;2,05;74;1,01;49;118;14;107;2;0,06;0,047222222;3;N/A;;;;
Tenderloin, lean, roasted;75g;75;108;452;21;0;2;0,08;0,09;0,04;52;1,00;44;302;23;184;2;0,01;0,41;5;0,02;;;;
Lamb;;;;;;;;;;;;;;;;;;;;;;;;;
American, fresh, foreshank, lean + fat, cooked;75g;75;182;762;21;0;10;4,02;4,03;0,07;80;1,06;54;193;17;125;0;0,02;0,090972222;13;0,01;;;;
American, fresh, ground, cooked;75g;75;212;888;19;0;15;6,01;6,02;1,01;73;1,03;61;254;18;151;0;0,06;0,108333333;14;0,01;;;;
American, fresh, leg, whole, lean + fat, cooked;75g;75;194;809;19;0;12;5,02;5,02;0,09;70;1,05;50;235;18;143;0;0,05;0,106944444;15;0,01;;;;
American, fresh, loin, lean + fat, cooked;75g;75;232;969;17;0;18;7,07;7,03;1,04;71;1,06;48;185;17;135;0;0,05;0,0875;14;0,01;;;;
American, fresh, rib, lean + fat, cooked;75g;75;269;1126;16;0;22;9,06;9,04;1,06;73;1,02;55;203;15;125;0;0,05;0,088194444;11;0,01;;;;
American, fresh, shoulder, whole, lean+ fat, cooked;75g;75;207;866;17;0;15;6,03;6,01;1,02;69;1,05;50;188;17;138;0;0,05;0,109722222;16;0,01;;;;
New Zealand, frozen, composite, lean + fat, cooked;75g;75;203;847;19;0;13;6,06;5,02;0,07;80;1,06;35;121;14;158;0;0,05;02.03;1;0,01;;;;
New Zealand, frozen, foreshank, lean + fat, braised;75g;75;194;809;20;0;12;5,09;4,06;0,05;77;1,06;35;89;11;131;0;0,03;0,099305556;1;0,01;;;;
New Zealand, frozen, leg, whole, lean + fat, roasted;75g;75;176;734;19;0;10;5,01;4,01;0,05;76;1,06;33;128;15;166;0;0,05;0,108333333;1;0,01;;;;
New Zealand, frozen, loin, lean + fat, broiled;75g;75;222;929;18;0;16;7,09;6,02;0,07;85;1,06;38;123;15;160;0;0,05;0,104861111;1;0,01;;;;
New Zealand, frozen, rib, lean + fat, roasted;75g;75;238;995;15;0;19;9,06;7,04;0,09;74;1,03;33;96;11;130;0;0,04;0,093055556;1;0,02;;;;
New Zealand, frozen, shoulder, whole, lean + fat, braised;75g;75;257;1073;22;0;18;8,06;7,00;0,09;92;1,06;39;113;14;150;0;0,04;0,125;1;0,02;;;;
Poultry and Game Birds;;;;;;;;;;;;;;;;;;;;;;;;;
Chicken, broiler, breast, meat and skin, roasted;75g;75;142;593;19;0;7;1,08;2,06;1,04;63;0,04;45;241;20;N/A;20;0,02;0,24;3;0,02;;;;
Chicken, broiler, breast, meat, roasted;75g;75;119;499;25;0;2;0,04;0,05;0,03;64;0,04;56;301;22;N/A;5;0,02;0,26;3;0,02;;;;
Chicken, broiler, drumstick, meat and skin, roasted;75g;75;161;671;16;0;10;2,08;3,08;2,03;68;1,00;68;172;17;131;23;0,02;0,24;6;0,02;;;;
Chicken, broiler, drumstick, meat, roasted;75g;75;127;530;19;0;5;1,04;1,07;1,03;70;1,00;71;185;18;N/A;14;0,02;0,26;7;0,02;;;;
Chicken, broiler, flesh and skin, roasted;75g;75;179;749;20;0;10;2,08;4,00;2,02;66;0,09;62;167;17;137;35;0,02;0,23;4;0,02;;;;
Chicken, broiler, flesh, roasted;75g;75;143;596;22;0;6;1,05;2,00;1,03;67;0,09;65;182;19;146;12;0,02;0,25;5;0,02;;;;
Chicken, broiler, thigh, meat and skin, roasted;75g;75;187;781;15;0;14;3,08;5,04;3,00;70;1,00;63;167;17;131;36;0,02;0,22;5;0,02;;;;
Chicken, broiler, thigh, meat, roasted;75g;75;127;530;19;0;5;1,05;2,00;1,02;71;1,00;66;179;18;N/A;15;0,01;0,23;6;0,02;;;;
Chicken, broiler, wing, meat and skin, roasted;75g;75;218;910;20;0;15;4,01;5,07;3,01;63;1,00;62;138;14;113;35;0,05;0,22;2;0,02;;;;
Chicken, cornish game hens, flesh and skin, roasted;75g;75;195;815;17;0;14;3,08;6,00;2,07;98;0,07;48;184;14;110;24;0,03;0,21;2;0,03;;;;
Chicken, ground, lean, cooked;75g;75;153;640;16;0;9;N/A;N/A;N/A;59;1,02;51;212;N/A;N/A;9;0,02;N/A;N/A;N/A;;;;
Duck, domesticated, roasted;75g;75;253;1057;14;0;21;7,03;9,07;2,07;63;2,00;44;153;12;117;47;4,01;0,23;5;0,05;;;;
Duck, wild, cooked;75g;75;128;533;23;0;3;1,00;1,04;0,04;N/A;7,04;40;197;23;187;12;N/A;N/A;N/A;N/A;;;;
Goose, domesticated, flesh, roasted;75g;75;179;746;22;0;10;3,04;3,03;1,02;72;2,02;57;291;19;232;9;0,01;0,37;9;N/A;;;;
Goose, wild (Canada goose), flesh, roasted;75g;75;150;627;23;0;6;0,07;1,09;1,01;72;7,04;57;291;19;232;9;0,01;0,37;9;N/A;;;;
Ptarmigan, flesh, cooked;75g;75;116;483;23;0;2;N/A;N/A;N/A;N/A;6,05;37;247;27;190;N/A;N/A;N/A;N/A;N/A;;;;
Spruce grouse, flesh, cooked;75g;75;99;414;20;0;2;N/A;N/A;N/A;N/A;3,03;38;204;25;152;N/A;N/A;N/A;N/A;N/A;;;;
Turkey, dark meat and skin, roasted;75g;75;162;677;17;0;9;2,00;2,06;1,04;82;1,07;60;207;17;148;0;0,05;0,28;7;N/A;;;;
Turkey, dark meat, roasted;75g;75;139;581;19;0;6;1,06;2,00;1,00;82;1,07;62;220;17;154;0;0,02;0,29;8;N/A;;;;
Turkey, ground, cooked;75g;75;176;737;21;0;10;2,05;3,07;2,04;77;1,04;80;203;18;147;0;0,08;0,25;5;00.03;;;;
Turkey, light meat and skin, roasted;75g;75;143;599;21;0;4;0,09;1,02;0,06;58;1,01;50;215;20;157;0;0,02;0,27;5;N/A;;;;
Turkey, light meat, roasted;75g;75;116;483;21;0;2;0,07;0,09;0,05;55;1,00;51;231;21;165;0;0,02;0,29;5;N/A;;;;
Game Meats and Other Meats;;;;;;;;;;;;;;;;;;;;;;;;;
Bear, simmered;75g;75;194;812;24;0;10;2,07;4,02;1,08;74;8,00;53;197;17;128;14;N/A;0,100694444;5;0,04;;;;
Beaver, roasted;75g;75;95;398;20;0;1;1,06;1,04;1,00;88;3,06;68;255;17;135;N/A;N/A;6,23;8;0,03;;;;
Bison, roasted;75g;75;107;449;21;0;2;0,07;0,07;0,02;62;2,06;43;271;20;157;0;N/A;2,15;6;0,03;;;;
Caribou (reindeer), roasted;75g;75;122;512;24;0;2;1,09;1,04;0,09;82;4,02;35;268;23;168;4;0,02;0,234722222;4;0,03;;;;
Deer (venison), roasted;75g;75;119;496;23;0;2;0,09;0,07;0,05;84;3,04;41;251;18;170;0;N/A;N/A;N/A;N/A;;;;
Emu, inside drum, broiled;75g;75;117;489;24;0;2;0,05;0,06;0,03;68;5,05;89;234;25;230;2;N/A;0,097222222;8;0,02;;;;
Goat, roasted;75g;75;107;449;20;0;2;0,07;1,00;0,02;56;2,08;65;304;0;151;0;N/A;0,061805556;4;0,03;;;;
Horsemeat, roasted;75g;75;131;549;21;0;5;1,04;1,06;0,06;51;3,08;41;284;19;185;0;N/A;2,37;N/A;N/A;;;;
Moose, roasted;75g;75;121;505;26;0;1;0,02;0,02;0,02;59;3,08;38;375;23;188;0;N/A;0,217361111;3;0,02;;;;
Narwhal skin (muktuk), raw;90g;90;119;497;20;0;4;0,06;2,07;0,03;N/A;0,03;91;332;14;146;126;N/A;N/A;N/A;N/A;;;;
Ostrich, inside strip, cooked;75g;75;123;515;22;0;3;1,03;1,03;0,06;73;3,06;55;275;20;190;0;N/A;0,224305556;12;0,02;;;;
Rabbit, composite cuts, roasted;75g;75;148;618;22;0;6;1,08;1,06;1,02;62;1,07;35;287;16;197;0;0,01;6,23;8;N/A;;;;
Seal meat, boiled;75g;75;129;539;26;0;2;0,08;1,06;0,03;133;17,06;33;212;20;139;11;N/A;N/A;N/A;N/A;;;;
Liver and Organ Meats;;;;;;;;;;;;;;;;;;;;;;;;;
Heart, beef, simmered;75g;75;124;518;21;tr;4;1,01;0,08;0,07;159;4,08;44;164;16;191;0;1,03;8,10;4;0,02;;;;
Kidney, beef, simmered;75g;75;119;496;20;0;3;0,08;0,05;0,06;537;4,04;71;101;9;228;0;1,03;N/A;62;0,01;;;;
Liver, beef, pan-fried;75g;75;131;549;20;4;4;1,01;0,05;0,04;286;4,06;58;263;17;364;5808;0,05;N/A;195;0,04;;;;
Liver, chicken, pan-fried;75g;75;129;539;19;1;5;1,05;1,00;1,00;423;9,07;69;236;20;332;3972;N/A;N/A;420;0,06;;;;
Liver, veal, pan-fried;75g;75;145;605;21;3;5;1,06;0,09;0,08;364;4,05;64;265;17;362;N/A;0,02;N/A;263;0,05;;;;
Thymus, veal, braised;75g;75;94;392;17;0;2;0,07;0,07;0,02;263;0,09;44;326;18;470;0;N/A;2,14;15;0,01;;;;
Tongue, beef, canned or pickled;75g;75;200;838;14;tr;15;7,05;6,08;0;71;1,06;55;148;11;137;0;N/A;N/A;4;0,03;;;;
Processed Meat Products;;;;;;;;;;;;;;;;;;;;;;;;;
